data_estrazione;provincia;comune;tipo;candidato_riferimento;nome;voti;percentuale
2024-11-19 08:55:11;Rimini;PENNABILLI;LISTA;SERRA FEDERICO;Candidati presidente;1044;100
2024-11-19 08:55:11;Rimini;PENNABILLI;LISTA;SERRA FEDERICO;Liste;978;100
2024-11-19 08:55:21;Rimini;POGGIO TORRIANA;CANDIDATO;;DE PASCALE MICHELE;1034;59,87
2024-11-19 08:55:21;Rimini;POGGIO TORRIANA;CANDIDATO;;UGOLINI ELENA;616;35,67
2024-11-19 08:55:21;Rimini;POGGIO TORRIANA;CANDIDATO;;TEODORI LUCA;42;2,43
2024-11-19 08:55:21;Rimini;POGGIO TORRIANA;CANDIDATO;;SERRA FEDERICO;35;2,03
2024-11-19 08:55:21;Rimini;POGGIO TORRIANA;LISTA;SERRA FEDERICO;Candidati presidente;1727;100
2024-11-19 08:55:21;Rimini;POGGIO TORRIANA;LISTA;SERRA FEDERICO;Liste;1614;100
2024-11-19 08:55:31;Rimini;RICCIONE;CANDIDATO;;UGOLINI ELENA;6232;49,78
2024-11-19 08:55:31;Rimini;RICCIONE;CANDIDATO;;DE PASCALE MICHELE;5992;47,86
2024-11-19 08:55:31;Rimini;RICCIONE;CANDIDATO;;TEODORI LUCA;182;1,45
2024-11-19 08:55:31;Rimini;RICCIONE;CANDIDATO;;SERRA FEDERICO;113;0,90
2024-11-19 08:55:31;Rimini;RICCIONE;LISTA;SERRA FEDERICO;Candidati presidente;12519;100
2024-11-19 08:55:31;Rimini;RICCIONE;LISTA;SERRA FEDERICO;Liste;11790;100
2024-11-19 08:55:42;Rimini;RIMINI;CANDIDATO;;DE PASCALE MICHELE;27587;53,63
2024-11-19 08:55:42;Rimini;RIMINI;CANDIDATO;;UGOLINI ELENA;22337;43,42
2024-11-19 08:55:42;Rimini;RIMINI;CANDIDATO;;TEODORI LUCA;773;1,50
2024-11-19 08:55:42;Rimini;RIMINI;CANDIDATO;;SERRA FEDERICO;747;1,45
2024-11-19 08:55:42;Rimini;RIMINI;LISTA;SERRA FEDERICO;Candidati presidente;51444;100
2024-11-19 08:55:42;Rimini;RIMINI;LISTA;SERRA FEDERICO;Liste;47180;100
2024-11-19 08:55:52;Rimini;SALUDECIO;CANDIDATO;;UGOLINI ELENA;418;54,08
2024-11-19 08:55:52;Rimini;SALUDECIO;CANDIDATO;;DE PASCALE MICHELE;330;42,69
2024-11-19 08:55:52;Rimini;SALUDECIO;CANDIDATO;;TEODORI LUCA;17;2,20
2024-11-19 08:55:52;Rimini;SALUDECIO;CANDIDATO;;SERRA FEDERICO;8;1,03
2024-11-19 08:55:52;Rimini;SALUDECIO;LISTA;SERRA FEDERICO;Candidati presidente;773;100
2024-11-19 08:55:52;Rimini;SALUDECIO;LISTA;SERRA FEDERICO;Liste;716;100
2024-11-19 08:56:02;Rimini;SAN CLEMENTE;CANDIDATO;;DE PASCALE MICHELE;757;53,20
2024-11-19 08:56:02;Rimini;SAN CLEMENTE;CANDIDATO;;UGOLINI ELENA;620;43,57
2024-11-19 08:56:02;Rimini;SAN CLEMENTE;CANDIDATO;;TEODORI LUCA;25;1,76
2024-11-19 08:56:02;Rimini;SAN CLEMENTE;CANDIDATO;;SERRA FEDERICO;21;1,48
2024-11-19 08:56:02;Rimini;SAN CLEMENTE;LISTA;SERRA FEDERICO;Candidati presidente;1423;100
2024-11-19 08:56:02;Rimini;SAN CLEMENTE;LISTA;SERRA FEDERICO;Liste;1320;100
2024-11-19 08:56:12;Rimini;SAN GIOVANNI IN MARIGNANO;CANDIDATO;;DE PASCALE MICHELE;1741;57,25
2024-11-19 08:56:12;Rimini;SAN GIOVANNI IN MARIGNANO;CANDIDATO;;UGOLINI ELENA;1184;38,93
2024-11-19 08:56:12;Rimini;SAN GIOVANNI IN MARIGNANO;CANDIDATO;;SERRA FEDERICO;64;2,10
2024-11-19 08:56:12;Rimini;SAN GIOVANNI IN MARIGNANO;CANDIDATO;;TEODORI LUCA;52;1,71
2024-11-19 08:56:12;Rimini;SAN GIOVANNI IN MARIGNANO;LISTA;TEODORI LUCA;Candidati presidente;3041;100
2024-11-19 08:56:12;Rimini;SAN GIOVANNI IN MARIGNANO;LISTA;TEODORI LUCA;Liste;2767;100
2024-11-19 08:56:23;Rimini;SAN LEO;CANDIDATO;;UGOLINI ELENA;531;51,30
2024-11-19 08:56:23;Rimini;SAN LEO;CANDIDATO;;DE PASCALE MICHELE;463;44,73
2024-11-19 08:56:23;Rimini;SAN LEO;CANDIDATO;;TEODORI LUCA;32;3,09
2024-11-19 08:56:23;Rimini;SAN LEO;CANDIDATO;;SERRA FEDERICO;9;0,87
2024-11-19 08:56:23;Rimini;SAN LEO;LISTA;SERRA FEDERICO;Candidati presidente;1035;100
2024-11-19 08:56:23;Rimini;SAN LEO;LISTA;SERRA FEDERICO;Liste;986;100
2024-11-19 08:56:33;Rimini;SANT'AGATA FELTRIA;CANDIDATO;;DE PASCALE MICHELE;363;52,53
2024-11-19 08:56:33;Rimini;SANT'AGATA FELTRIA;CANDIDATO;;UGOLINI ELENA;313;45,30
2024-11-19 08:56:33;Rimini;SANT'AGATA FELTRIA;CANDIDATO;;TEODORI LUCA;10;1,45
2024-11-19 08:56:33;Rimini;SANT'AGATA FELTRIA;CANDIDATO;;SERRA FEDERICO;5;0,72
2024-11-19 08:56:33;Rimini;SANT'AGATA FELTRIA;LISTA;SERRA FEDERICO;Candidati presidente;691;100
2024-11-19 08:56:33;Rimini;SANT'AGATA FELTRIA;LISTA;SERRA FEDERICO;Liste;640;100
2024-11-19 08:56:43;Rimini;SANTARCANGELO DI ROMAGNA;CANDIDATO;;DE PASCALE MICHELE;5130;61,83
2024-11-19 08:56:43;Rimini;SANTARCANGELO DI ROMAGNA;CANDIDATO;;UGOLINI ELENA;2916;35,15
